id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review
9.02726E+17,Downtown Rideau River Suite,181295593,Martin,,Rideau-Vanier,45.4373,-75.68243,Private room,86.0,2.0,74,2025-02-17,3.44,1.0,296.0,24,Licensed,182.0
9.03091E+17,Hot Tub Getaway,517404700,Exclusive BNB,,Bay,45.35724,-75.79414,Entire home/apt,147.0,31.0,0,,,1.0,158.0,0,Licensed,
9.05512E+17,Private Room - Riverside South,227796,Sujatha,,Gloucester-South Nepean,45.2701,-75.68101,Private room,56.0,30.0,0,,,2.0,365.0,0,Licensed,
9.05747E+17,City Chic Apartment,404350011,Eloise,,Somerset,45.40669,-75.70092,Private room,40.0,30.0,1,2023-10-25,0.06,1.0,364.0,0,Licensed,663.0
9.05934E+17,Peaceful 2 Bedroom + den Unit,57825271,Lauren,,College,45.35327,-75.77355,Entire home/apt,120.0,30.0,2,2024-09-23,0.22,2.0,167.0,2,Licensed,329.0
9.06493E+17,A private room in Ottawa,258018212,Kartavya,,Rideau-Goulbourn,45.24726,-75.71442,Private room,100.0,1.0,82,2024-10-12,3.83,2.0,0.0,29,Licensed,310.0
9.06614E+17,La Dolce Vita Studio Apartment w/ parking,518246328,Paul Michael,,Somerset,45.40236,-75.70522,Entire home/apt,125.0,2.0,83,2025-03-09,4.26,1.0,314.0,50,Licensed,162.0
9.07025E+17,Downtown Ottawa - Cozy One Bedroom with Balcony,80676282,Angela,,Somerset,45.4110185,-75.7000351,Entire home/apt,100.0,30.0,3,2025-01-15,0.32,6.0,251.0,3,Licensed,215.0
9.07275E+17,Fancy 4 persons with garage,518413877,Azizos,,Capital,45.41509,-75.67064,Entire home/apt,90.0,30.0,1,2023-10-29,0.06,1.0,0.0,0,Licensed,659.0
9.08093E+17,Private bedroom& bath-Ladies,496906679,John,,Barrhaven,45.2475749,-75.7523911,Private room,50.0,30.0,1,2023-08-06,0.05,2.0,364.0,0,Licensed,743.0
9.08749E+17,The Stay Lounge - Deluxe Queen Room,502652819,The Stay,,Rideau-Goulbourn,45.23625,-75.74894,Private room,114.0,1.0,2,2024-04-28,0.11,3.0,304.0,1,Licensed,477.0
9.08758E+17,The Stay Lounge - Standard Room,502652819,The Stay,,Rideau-Goulbourn,45.23729,-75.74728,Private room,94.0,1.0,4,2024-01-20,0.19,3.0,334.0,0,Licensed,576.0
